coded_direction,Name,Group
1,IWZ 3520 NB,5b
2,IWZ 3520 SB,5b
1,IWZ 3063 NB,5b
2,IWZ 3063 SB,5b
1,IWZ 3084 NB,5b
2,IWZ 3084 SB,5b
1,IWZ629 - I-35 NB @ MM 57.55,5b
2,IWZ629 - I-35 SB @ MM 57.55,5b
1,IWZ3093 - I-35 NB @ MM 58.8,5b
2,IWZ3093 - I-35 SB @ MM 58.8,5b
1,IWZ3554 - I-35 NB @ MM 111.4 (IL,5d
2,IWZ3554 - I-35 SB @ MM 111.4 (IL,5d
1,IWZ3085 - I-35 NB @ MM 112 (IL),5d
2,IWZ3085 - I-35 SB @ MM 112 (IL),5d
1,IWZ3556 - I-35 NB @ IA-MO border,5d
2,IWZ3556 - I-35 SB @ IA-MO border,5d
1,IWZ3555 - I-35 NB @ south of US,5d
2,IWZ3555 - I-35 SB @ south of US,5d
1,IWZ3527 - I-35 NB @ Decatur Rest,5d
2,IWZ3527 - I-35 SB @ Decatur Rest,5d
1,IWZ 3066 EB,5f
2,IWZ 3066 WB,5f
1,IWZ 3507 EB,5f
2,IWZ 3507 WB,5f
1,IWZ 3087 EB,5f
2,IWZ 3087 WB,5f
1,IWZ 3516 EB,5f
2,IWZ 3516 WB,5f
1,I-29 SDSC-01 NB,g
2,I-29 SDSC-01 SB,g
1,I-29 SDSC-02 NB,g
2,I-29 SDSC-02 SB,g
1,I-29 SDSC-03 NB,g
2,I-29 SDSC-03 SB,g
1,I-29 SDSC-04 NB,g
2,I-29 SDSC-04 SB,g
1,I-29 SDSC-05 NB,g
2,I-29 SDSC-05 SB,g
1,I-29 SDSC-08 NB,g
2,I-29 SDSC-08 SB,g
1,I-29 SCDS-29 NB,g
2,I-29 SCDS-29 SB,g
1,I-29 SDSC-09 NB,g
2,I-29 SDSC-09 SB,g
1,I-29 SCDS-31 NB,g
2,I-29 SCDS-31 SB,g
1,I-29 SDSC-11 NB T,g
2,I-29 SDSC-11 SB T,g
1,I-29 SDSC-12 NB,g
2,I-29 SDSC-12 SB,g
1,I-29 SDSC-13 NB,g
2,I-29 SDSC-13 SB,g
1,DMTT06 - I-29 NB @ MM 148.83 T,g
2,DMTT06 - I-29 SB @ MM 148.83 T,g
1,I-29 SCDS-30 NB,g
2,I-29 SCDS-30 SB,g
1,I-29 SCDS-15 NB,g
2,I-29 SCDS-15 SB,g
1,I-29 SCDS-26 NB,g
2,I-29 SCDS-26 SB,g
1,I-29 SDSC-16 NB,g
2,I-29 SDSC-16 SB,g
1,I-29 SDSC-17 EB,g
2,I-29 SDSC-17 WB,g
1,US 20 SDSC-18 EB,h
2,US 20 SDSC-18 WB,h
1,US 20 SDSC-19 EB,h
2,US 20 SDSC-19 WB,h
1,US 20 SDSC-20 NB,h
2,US 20 SDSC-20 SB,h
1,US 20 SDSC-21 EB,h
2,US 20 SDSC-21 WB,h
1,US 20 SDSC-22 NB,h
2,US 20 SDSC-22 SB,h
1,US 20 SDSC-23 NB,h
2,US 20 SDSC-23 SB,h
1,IWZ3551-EB,6a
2,IWZ3551-WB,6a
1,IWZ3545-EB,6a
2,IWZ3545-WB,6a
1,IWZ3546-EB,6a
2,IWZ3546-WB,6a
1,IWZ3553-EB,6a
2,IWZ3553-WB,6a
1,IWZ3080-NB,6c
2,IWZ3080-SB,6c
1,I-74 NB from Crow Creek to 53rd,6c
2,I-74 SB from 53rd to 46th,6c
1,I-74 NB from Spruce Hills to Cro,6c
2,I-74 SB from 46th to Kimberly,6c
1,I-74 NB from Middle to Spruce Hi,6c
2,I-74 SB from Kimberly to Middle,6c
1,I-74 NB from Lincoln to Middle,6c
2,I-74 SB from Middle to Lincoln,6c
1,IWZ3076-EB,6d
2,IWZ3076-WB,6d
1,IWZ3079-EB,6d
2,IWZ3079-WB,6d
1,IWZ3542-EB,6d
2,IWZ3542-WB,6d
1,IWZ3077-EB,6d
2,IWZ3077-WB,6d
1,IWZ3068-EB,6d
2,IWZ3068-WB,6d
1,IWZ3088-EB,6d
2,IWZ3088-WB,6d
1,IWZ3078-EB,6d
2,IWZ3078-WB,6d
1,I-380 NB North of US 6 to 270th,6e
2,I-380 SB 270th St. to North of U,6e
1,I-380 NB 270th St. to North of P,6e
2,I-380 SB North of Penn to 270th,6e
1,I-380 NB North of Penn to North,6e
2,I-380 SB North of Swan Lake to N,6e
1,IWZ2005 - I-380 NB @ MM 6.82,6e
2,IWZ2005 - I-380 SB @ MM 6.82,6e
1,I-380 NB North of Swan Lake to N,6e
2,I-380 SB North of River to North,6e
1,IWZ 3062 NB,6e
2,IWZ 3062 SB,6e
1,I-380 NB North of River to 140th,6e
2,I-380 SB 140th St. to North of R,6e
1,I-380 CRDS04 NB,6gh
2,I-380 CRDS04 SB,6gh
1,I-380 CRDS05 NB,6gh
2,I-380 CRDS05 SB,6gh
1,I-380 CRDS06 NB,6gh
2,I-380 CRDS06 SB,6gh
1,I-380 CRDS08 NB,6gh
2,I-380 CRDS08 SB,6gh
1,I-380 CRDS09 NB,6gh
2,I-380 CRDS09 SB,6gh
1,I-380 CRDS10 NB,6gh
2,I-380 CRDS10 SB,6gh
1,I-380 CRDS11 NB,6gh
2,I-380 CRDS11 SB,6gh
1,I-380 CRDS12 NB,6gh
2,I-380 CRDS12 SB,6gh
1,I-74 SB from 53rd to 46th,n
2,I-74 NB from Crow Creek to 53rd,n
1,I-74 SB from 46th to Kimberly,n
2,I-74 NB from Spruce Hills to Cro,n
1,I-74 SB from Kimberly to Middle,n
2,I-74 NB from Middle to Spruce Hi,n
1,I-74 SB from Middle to Lincoln,n
2,I-74 NB from Lincoln to Middle,n
1,I-74 SB from Lincoln to Holmes,n
2,I-74 NB from Holmes to Lincoln,n
1,I-74 SB from Holmes to Isle Park,n
2,I-74 NB from Isle Park to Holmes,n
1,I-74 SB from Isle Parkway to Nor,n
2,I-74 NB from North Tower to Isle,n
1,I-74 SB from North Tower to Sout,n
1,I-74 SB from South Tower to Toll,n
2,I-74 NB from Toll Plaza to South,n
1,I-74 SB from Toll Plaza to 1st A,n
2,I-74 NB from 1st Ave to Toll Pla,n
1,I-74 SB from 1st Ave to 4th Ave,n
2,I-74 NB from 4th Ave to 1st Ave,n
1,I-74 SB from 4th Ave to 7th Ave,n
2,I-74 NB from 7th Ave to 4th Ave,n
1,I-74 SB from 7th Ave to 12th Ave,n
2,I-74 NB from 12th Ave to 7th Ave,n
1,I-74 SB from 12th Ave to Ave of,n
2,I-74 NB from Ave of the Cities t,n
